,latitude,longitude,hour_of_day,day_of_week,Month,parent_incident_type,Council Districts
107,42.9402876018382,-78.8672778834742,22.0,Friday,2.0,Theft,7.0
108,42.9407306419723,-78.8085493847661,0.0,Tuesday,12.0,Theft,8.0
109,42.9087046719548,-78.8775946021003,16.0,Friday,10.0,Theft,3.0
110,42.9300415336172,-78.8718609829208,1.0,Thursday,12.0,Theft,7.0
111,42.905860821592,-78.81460287555541,20.0,Wednesday,11.0,Theft,2.0
112,42.918009085817204,-78.8516078316421,22.0,Wednesday,10.0,Theft of Vehicle,9.0
113,42.8959833794238,-78.81434204445151,0.0,Thursday,8.0,Theft,5.0
114,42.946744221428105,-78.8147185136539,8.0,Monday,7.0,Breaking & Entering,8.0
115,42.954218352933204,-78.8593480166672,20.0,Wednesday,7.0,Theft of Vehicle,7.0
116,42.890249302034505,-78.8742502456378,3.0,Saturday,1.0,Assault,4.0
117,42.930694707533,-78.81368757433829,15.0,Wednesday,12.0,Theft of Vehicle,9.0
118,42.9482273257439,-78.8140143982292,15.0,Monday,3.0,Theft,8.0
119,42.89553769380171,-78.82461084331601,2.0,Wednesday,2.0,Robbery,5.0
120,42.8934683227349,-78.8815423849793,14.0,Saturday,2.0,Breaking & Entering,5.0
121,42.8864467999999,-78.8783689,22.0,Sunday,12.0,Theft of Vehicle,4.0
122,42.890366606196295,-78.8819752354912,14.0,Tuesday,3.0,Theft,5.0
123,42.921704399068204,-78.8222934197702,10.0,Monday,6.0,Assault,9.0
124,42.8540288401965,-78.8277607210687,12.0,Tuesday,9.0,Breaking & Entering,2.0
125,42.934886703264205,-78.8028363810879,2.0,Saturday,2.0,Breaking & Entering,8.0
126,42.9007430901651,-78.821488391074,20.0,Wednesday,9.0,Breaking & Entering,5.0
127,42.9449177819233,-78.87006299288409,11.0,Sunday,12.0,Theft,1.0
128,42.9090224256798,-78.8134648261763,16.0,Saturday,5.0,Breaking & Entering,2.0
129,42.8901328495212,-78.88029285081109,8.0,Monday,5.0,Breaking & Entering,5.0
130,42.940108809493104,-78.82817479169691,15.0,Saturday,12.0,Theft,9.0
131,42.918459999999996,-78.87106,14.0,Saturday,1.0,Theft,7.0
132,42.9461508512038,-78.83087854310409,17.0,Saturday,8.0,Theft,8.0
133,42.8988273326898,-78.8190924586154,10.0,Monday,8.0,Theft,5.0
134,42.8579033753861,-78.825084341951,17.0,Wednesday,9.0,Theft,2.0
135,42.9220025949497,-78.8678428117892,23.0,Thursday,3.0,Assault,7.0
136,42.9047019448321,-78.87722952618759,20.0,Tuesday,5.0,Theft,4.0
137,42.9539959914625,-78.85395616076329,2.0,Wednesday,7.0,Breaking & Entering,7.0
138,42.897666603404105,-78.881487973597,6.0,Monday,3.0,Breaking & Entering,5.0
139,42.89003977928729,-78.8018192975049,12.0,Monday,8.0,Assault,2.0
140,42.8916457249118,-78.8767423362896,23.0,Saturday,4.0,Robbery,4.0
141,42.857165567623895,-78.82274297311051,5.0,Tuesday,6.0,Breaking & Entering,6.0
142,42.86749528992571,-78.83637270310341,21.0,Wednesday,3.0,Theft,5.0
143,42.9035238857409,-78.8299716593952,1.0,Tuesday,7.0,Robbery,5.0
144,42.87170359774979,-78.8125354480979,10.0,Tuesday,4.0,Assault,2.0
145,42.89848859817079,-78.8922777097102,12.0,Friday,8.0,Assault,4.0
146,42.941514107252296,-78.9063312842526,16.0,Thursday,10.0,Breaking & Entering,1.0
147,42.914219817055205,-78.88899653127349,7.0,Thursday,9.0,Breaking & Entering,3.0
148,42.8579242300078,-78.815020647441,23.0,Monday,10.0,Theft of Vehicle,6.0
149,42.929671620094,-78.80920432482358,12.0,Friday,11.0,Breaking & Entering,8.0
150,42.906936464446105,-78.8614511909171,0.0,Saturday,8.0,Assault,4.0
151,42.925149823320105,-78.87816262951091,23.0,Friday,11.0,Breaking & Entering,7.0
152,42.8864467999999,-78.8783689,22.0,Monday,2.0,Assault,4.0
153,42.9081332906555,-78.84253185851401,22.0,Sunday,11.0,Robbery,4.0
154,42.9148538706201,-78.87738975547171,17.0,Monday,7.0,Theft,3.0
155,42.9567844076123,-78.8862559761708,15.0,Friday,6.0,Assault,1.0
156,42.9353591835025,-78.81339423303442,12.0,Saturday,7.0,Assault,8.0
157,42.8864058864598,-78.8526275265068,0.0,Saturday,10.0,Theft,4.0
158,42.926383170197795,-78.89618819300341,17.0,Thursday,5.0,Assault,3.0
159,42.8703404746909,-78.8467009353006,3.0,Sunday,10.0,Assault,5.0
160,42.918963659605,-78.84601192118191,1.0,Tuesday,5.0,Theft,9.0
161,42.886608836480704,-78.87072563489109,0.0,Saturday,11.0,Theft,4.0
162,42.916122261625794,-78.8009405175199,0.0,Friday,7.0,Breaking & Entering,2.0
163,42.895140809864,-78.87132503547019,23.0,Tuesday,9.0,Assault,5.0
164,42.9240910108465,-78.87031749339259,17.0,Sunday,5.0,Theft,7.0
165,42.8731246461081,-78.8653210485097,23.0,Wednesday,6.0,Assault,5.0
166,42.8724712211778,-78.8675933181901,13.0,Sunday,6.0,Theft,5.0
167,42.9026809146441,-78.8390006017893,13.0,Tuesday,7.0,Theft,5.0
168,42.9455530564359,-78.8066020803522,7.0,Saturday,1.0,Theft of Vehicle,8.0
169,42.946846331889404,-78.804709031445,7.0,Sunday,8.0,Theft,8.0
170,42.916540533928206,-78.8933011712855,15.0,Wednesday,10.0,Theft,3.0
171,42.9549769448324,-78.82737539752141,16.0,Friday,1.0,Theft,8.0
172,42.8894817533095,-78.8105895749682,23.0,Friday,10.0,Assault,2.0
173,42.9204070104142,-78.8941792400336,16.0,Thursday,4.0,Breaking & Entering,3.0
174,42.8475357749033,-78.823036535122,13.0,Sunday,5.0,Assault,6.0
175,42.905299447179395,-78.89003488498,12.0,Thursday,7.0,Theft,3.0
176,42.9418305875255,-78.8861826544053,12.0,Thursday,10.0,Breaking & Entering,1.0
177,42.9051100689968,-78.83240410953451,0.0,Wednesday,5.0,Assault,5.0
178,42.9167967415666,-78.894481957464,12.0,Friday,9.0,Theft,3.0
179,42.9365388923347,-78.8949325599204,1.0,Wednesday,7.0,Theft,1.0
180,42.9611357475657,-78.89601672320958,23.0,Saturday,4.0,Theft,1.0
181,42.9110436437564,-78.8335269203295,12.0,Monday,8.0,Theft,9.0
182,42.885355361059,-78.8559438241623,1.0,Saturday,3.0,Theft,4.0
183,42.911315738991,-78.8659130037752,11.0,Tuesday,6.0,Theft,4.0
184,42.8534798547806,-78.8006458712822,7.0,Sunday,11.0,Theft,6.0
185,42.8864468,-78.8783689,2.0,Saturday,6.0,Assault,4.0
186,42.9156204466122,-78.8722088571808,0.0,Monday,5.0,Theft,7.0
187,42.9501904961562,-78.8682572063176,17.0,Monday,5.0,Breaking & Entering,7.0
188,42.9279153920698,-78.8771158284519,18.0,Friday,2.0,Theft,7.0
189,42.9582024571662,-78.8682941696832,18.0,Friday,5.0,Theft,7.0
190,42.907769072598,-78.8575356380382,23.0,Thursday,7.0,Theft,4.0
191,42.88597,-78.80343,6.0,Sunday,3.0,Breaking & Entering,2.0
192,42.92247231265829,-78.8090646710557,0.0,Sunday,7.0,Assault,2.0
193,42.944894399999995,-78.8711668,15.0,Saturday,12.0,Theft,1.0
194,42.9487494314418,-78.8514424379375,9.0,Saturday,10.0,Theft,7.0
195,42.893682553635394,-78.8856311218018,19.0,Saturday,4.0,Robbery,4.0
196,42.9506147528059,-78.86491648263309,0.0,Wednesday,9.0,Theft,7.0
197,42.8854261461147,-78.8581772329385,0.0,Sunday,3.0,Breaking & Entering,4.0
198,42.9181474785238,-78.85478168449329,1.0,Tuesday,12.0,Assault,9.0
199,42.8429239,-78.80866390000001,0.0,Wednesday,11.0,Theft,6.0
200,42.951027813759204,-78.8264259753388,0.0,Friday,2.0,Theft,8.0
201,42.89712560121939,-78.81934721721349,22.0,Saturday,6.0,Theft,5.0
202,42.9022013465814,-78.8882776077738,22.0,Tuesday,7.0,Theft,3.0
